YEAR,Start_Year,Home_Value
2014,9,666044
2015,8,686666
2016,7,778565
2017,6,829066
2018,5,934874
2019,4,979657
2020,3,972353
2021,2,1061318
2022,1,1153071
2023,0,1161304
