YEAR,Car_Age,MILEAGE,CAR_PRICE
2018,5,"58,910","29,998"
2021,2,"21,000","46,995"
2020,3,"39,316","43,495"
2017,6,"31,375","34,991"
2011,12,"131,182","14,498"
2022,1,1579,"45,990"
2018,5,"37,000","36,590"
2015,8,"90,259","21,995"
2011,12,"139,000","30,995"
