YEAR,Start_Year,Home_Value
2014,0,666044
2015,1,686666
2016,2,778565
2017,3,829066
2018,4,934874
2019,5,979657
2020,6,972353
2021,7,1061318
2022,8,1153071
2023,9,1161304
