YEAR,Car_Age,MILEAGE,CAR_PRICE
2018,5,58910,29998
2021,2,21000,46995
2020,3,39316,43495
2017,6,31375,34991
2011,12,131182,14498
2022,1,1579,45990
2018,5,37000,36590
2015,8,90259,21995
2011,12,139000,30995
